0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   2   2   2   2   2   2   2   2   3   3   3   3   3   3   3   3   4   4   4   4   4   4   4   4   5   5   5   5   5   5   5   5   6   6   6   6   6   6   6   6   7   7   7   7   7   7   7   7   
0   1   2   3   4   5   6   7   0   1   2   3   4   5   6   7   0   1   2   3   4   5   6   7   0   1   2   3   4   5   6   7   0   1   2   3   4   5   6   7   0   1   2   3   4   5   6   7   0   1   2   3   4   5   6   7   0   1   2   3   4   5   6   7   
-0.380607   0.390592   -0.390013   0.393385   -0.393385   0.390013   -0.390592   0.380607   0.390592   -0.395452   0.397387   -0.399122   0.399122   -0.397387   0.395452   -0.390592   -0.390013   0.397387   -0.403201   0.402624   -0.402624   0.403201   -0.397387   0.390013   0.393385   -0.399122   0.402624   -0.404732   0.404732   -0.402624   0.399122   -0.393385   -0.393385   0.399122   -0.402624   0.404732   -0.404732   0.402624   -0.399122   0.393385   0.390013   -0.397387   0.403201   -0.402624   0.402624   -0.403201   0.397387   -0.390013   -0.390592   0.395452   -0.397387   0.399122   -0.399122   0.397387   -0.395452   0.390592   0.380607   -0.390592   0.390013   -0.393385   0.393385   -0.390013   0.390592   -0.380607   
